1,Gen
1,Genesis
1,Gn
2,Ex
2,Exod
2,Exodus
3,Lev
3,Leviticus
3,Lv
4,Nm
4,Num
4,Numbers
5,Deut
5,Deuteronomy
5,Dt
6,Jo
6,Josh
6,Joshua
7,Jgs
7,Judg
7,Judges
8,Ru
8,Ruth
9,1 Sam
9,1 Samuel
9,1 Sm
9,1Sam
9,1Sm
10,2 Sam
10,2 Samuel
10,2 Sm
10,2Sam
10,2Sm
11,1 Kgs
11,1 Kings
11,1Kgs
11,1Kings
12,2 Kgs
12,2 Kings
12,2Kgs
12,2Kings
13,1 Chr
13,1 Chron
13,1 Chronicles
13,1Chr
13,1Chron
14,2 Chr
14,2 Chron
14,2 Chronicles
14,2Chr
14,2Chron
15,Ezr
15,Ezra
16,Neh
16,Neh
16,Nehemiah
17,Est
17,Esther
18,Jb
18,Job
19,Ps
19,Psalms
19,Pss
20,Prov
20,Proverbs
20,Prv
21,Eccl
21,Eccles
21,Ecclesiastes
22,Song of Songs
23,Is
23,Isa
23,Isaiah
24,Jer
24,Jer
24,Jeremiah
25,Lam
25,Lam
25,Lamentations
26,Ez
26,Ezek
26,Ezekiel
27,Dan
27,Daniel
27,Dn
28,Hos
28,Hosea
29,Jl
29,Joel
30,Am
30,Amos
31,Ob
31,Obad
31,Obadiah
32,Jon
32,Jonah
33,Mi
33,Mic
33,Micah
34,Na
34,Nah
34,Nahum
35,Hab
35,Habakkuk
35,Hb
36,Zep
36,Zeph
36,Zephaniah
37,Hag
37,Haggai
37,Hg
38,Zec
38,Zech
38,Zechariah
39,Mal
39,Mal
39,Malachi
40,Matt
40,Matthew
40,Mt
41,Mark
41,Mk
42,Lk
42,Luke
43,Jn
43,John
44,Acts
45,Rom
45,Romans
46,1 Cor
46,1 Corinthians
46,1Cor
47,2 Cor
47,2 Corinthians
47,2Cor
48,Gal
48,Galatians
49,Eph
49,Ephesians
50,Phil
50,Philippians
51,Col
51,Colossians
52,1 Thes
52,1 Thessalonians
52,1Thes
53,2 Thes
53,2 Thessalonians
53,2Thes
54,1 Tim
54,1 Timothy
54,1 Tm
54,1Tim
54,1Tm
55,2 Tim
55,2 Timothy
55,2 Tm
55,2Tim
55,2Tm
56,Ti
56,Titus
57,Philem
57,Philemon
57,Phlm
58,Hebrews
59,James
59,Jas
60,1 Pet
60,1 Peter
60,1 Pt
60,1Pet
60,1Pt
61,2 Pet
61,2 Peter
61,2 Pt
61,2Pet
61,2Pt
62,1 Jn
62,1 John
62,1Jn
63,2 Jn
63,2 John
63,2Jn
64,3 Jn 
64,3 John
64,3Jn 
65,Jude
66,Rev
66,Revelation
66,Rv
